Species,Scientific Name, Common Name,Sex,N,Mean,S.D.,Min,Max, Season,Location ,Source #
Leucopternis melanops,Leucopternis melanops,Black-faced Hawk,F,3,,,303,380,,,
Leucopternis kuhli,Leucopternis kuhli,White-browed Hawk,M,2,322,,315,330,,Peru,988
Leucopternis kuhli,Leucopternis kuhli,White-browed Hawk,F,1,385,,,,,,
Leucopternis semiplumbeus,Leucopternis semiplumbeus,Semiplumbeous Hawk,M,1,250,,,,,Panama,990
Leucopternis semiplumbeus,Leucopternis semiplumbeus,Semiplumbeous Hawk,F,1,325,,,,,,
Leucopternis albicollis,Leucopternis albicollis,White Hawk,M,3,619,,600,653,,Suriname; Panama,"498, 990"
Leucopternis albicollis,Leucopternis albicollis,White Hawk,F,5,800,,650,908,,,
Leucopternis occidentalis,Leucopternis occidentalis,Gray-backed Hawk,F,1,660,,,,,Ecuador,991
Buteogallus aequinoctialis,Buteogallus aequinoctialis,Rufous Crab-Hawk,M,10,610,,503,685,,Suriname,498
Buteogallus aequinoctialis,Buteogallus aequinoctialis,Rufous Crab-Hawk,F,10,709,,652,750,,,
Buteogallus anthracinus,Buteogallus anthracinus,Common Black-Hawk,M,6,793,,,,,Panama,489
Buteogallus anthracinus,Buteogallus anthracinus,Common Black-Hawk,F,4,1199,,,,,,
Buteogallus gundlachi,Buteogallus gundlachi,Cuban Black-Hawk,M,1,673,,,,,Cuba,1306
